Date : 2021-05-05 10:29:35
Directory : /home/swithun/project/vscode/java/spring boot/scoring_system
Total : 53 files,  2662 codes, 617 comments, 489 blanks, all 3768 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| java     |         41 |      1,695 |        603 |        440 |      2,738 |
| Vue      |         11 |        939 |         14 |         49 |      1,002 |
| PlantUML |          1 |         28 |          0 |          0 |         28 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                              |         53 |      2,662 |        617 |        489 |      3,768 |
| backend                                                                                                                                                                                                        |         41 |      1,695 |        603 |        440 |      2,738 |
| backend/.mvn                                                                                                                                                                                                   |          1 |         76 |         31 |         11 |        118 |
| backend/.mvn/wrapper                                                                                                                                                                                           |          1 |         76 |         31 |         11 |        118 |
| backend/src                                                                                                                                                                                                    |         40 |      1,619 |        572 |        429 |      2,620 |
| backend/src/main                                                                                                                                                                                               |         39 |      1,610 |        572 |        424 |      2,606 |
| backend/src/main/java                                                                                                                                                                                          |         39 |      1,610 |        572 |        424 |      2,606 |
| backend/src/main/java/com                                                                                                                                                                                      |         39 |      1,610 |        572 |        424 |      2,606 |
| backend/src/main/java/com/swithun                                                                                                                                                                              |         39 |      1,610 |        572 |        424 |      2,606 |
| backend/src/main/java/com/swithun/backend                                                                                                                                                                      |         39 |      1,610 |        572 |        424 |      2,606 |
| backend/src/main/java/com/swithun/backend/config                                                                                                                                                               |          4 |        140 |         36 |         38 |        214 |
| backend/src/main/java/com/swithun/backend/config/uniform_response                                                                                                                                              |          3 |        126 |         36 |         32 |        194 |
| backend/src/main/java/com/swithun/backend/controller                                                                                                                                                           |          3 |        166 |         66 |         45 |        277 |
| backend/src/main/java/com/swithun/backend/dao                                                                                                                                                                  |          4 |         45 |         36 |         17 |         98 |
| backend/src/main/java/com/swithun/backend/dto                                                                                                                                                                  |          4 |        155 |         45 |         20 |        220 |
| backend/src/main/java/com/swithun/backend/entity                                                                                                                                                               |          4 |        370 |         27 |         91 |        488 |
| backend/src/main/java/com/swithun/backend/service                                                                                                                                                              |          3 |        166 |         88 |         40 |        294 |
| backend/src/main/java/com/swithun/backend/tools                                                                                                                                                                |         16 |        559 |        265 |        169 |        993 |
| backend/src/main/java/com/swithun/backend/tools/convert                                                                                                                                                        |          1 |         26 |         12 |          4 |         42 |
| backend/src/main/java/com/swithun/backend/tools/secret                                                                                                                                                         |         15 |        533 |        253 |        165 |        951 |
| backend/src/main/java/com/swithun/backend/tools/secret/Controller                                                                                                                                              |          1 |         67 |         15 |         14 |         96 |
| backend/src/main/java/com/swithun/backend/tools/secret/config                                                                                                                                                  |          8 |        257 |        158 |         91 |        506 |
| backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider                                                                                                                         |          2 |         48 |         52 |         16 |        116 |
| backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken                                                                                                              |          2 |         14 |         18 |         10 |         42 |
| backend/src/main/java/com/swithun/backend/tools/secret/model                                                                                                                                                   |          3 |         70 |         19 |         26 |        115 |
| backend/src/main/java/com/swithun/backend/tools/secret/services                                                                                                                                                |          2 |         70 |         40 |         17 |        127 |
| backend/src/main/java/com/swithun/backend/tools/secret/tools                                                                                                                                                   |          1 |         69 |         21 |         17 |        107 |
| backend/src/test                                                                                                                                                                                               |          1 |          9 |          0 |          5 |         14 |
| backend/src/test/java                                                                                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| backend/src/test/java/com                                                                                                                                                                                      |          1 |          9 |          0 |          5 |         14 |
| backend/src/test/java/com/swithun                                                                                                                                                                              |          1 |          9 |          0 |          5 |         14 |
| backend/src/test/java/com/swithun/backend                                                                                                                                                                      |          1 |          9 |          0 |          5 |         14 |
| frontend_vue3                                                                                                                                                                                                  |         11 |        939 |         14 |         49 |      1,002 |
| frontend_vue3/src                                                                                                                                                                                              |         11 |        939 |         14 |         49 |      1,002 |
| frontend_vue3/src/components                                                                                                                                                                                   |          8 |        893 |         13 |         41 |        947 |
| frontend_vue3/src/views                                                                                                                                                                                        |          2 |         20 |          1 |          4 |         25 |
| 文档                                                                                                                                                                                                             |          1 |         28 |          0 |          0 |         28 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                       | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/.mvn/wrapper/MavenWrapperDownloader.java                                                                                                  | java     |         76 |         31 |         11 |        118 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/BackendApplication.java                                                                                 | java     |          9 |          9 |          4 |         22 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/WebMvcConfiguration.java                                                                         | java     |         14 |          0 |          6 |         20 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CommonStatusCodeEnum.java                                                       | java     |         23 |          0 |          9 |         32 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CustomResponseBodyAdvice.java                                                   | java     |         29 |          9 |          6 |         44 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/UnifiedResponsor.java                                                           | java     |         74 |         27 |         17 |        118 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/LoginController.java                                                                         | java     |         27 |          9 |          8 |         44 |
