Date : 2021-05-05 10:29:35
Directory : /home/swithun/project/vscode/java/spring boot/scoring_system
Total : 53 files,  2662 codes, 617 comments, 489 blanks, all 3768 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/StudentController.java                                                                       | java     |         64 |         37 |         16 |        117 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/TeacherController.java                                                                       | java     |         75 |         20 |         21 |        116 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/CommentForFileRepository.java                                                                       | java     |         16 |          9 |          5 |         30 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentFileRepository.java                                                                          | java     |         13 |          9 |          5 |         27 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentRepository.java                                                                              | java     |          8 |          9 |          4 |         21 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TeacherRepository.java                                                                              | java     |          8 |          9 |          3 |         20 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/AddFileFileListDTO.java                                                                             | java     |         23 |         18 |          3 |         44 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/CommentDTO.java                                                                                     | java     |         56 |          9 |          3 |         68 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/StudentGetFileListDTO.java                                                                          | java     |         31 |          9 |          1 |         41 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/TeacherGetFileListDTO.java                                                                          | java     |         45 |          9 |         13 |         67 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/CommentForFileEntity.java                                                                        | java     |        103 |          0 |         25 |        128 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentEntity.java                                                                               | java     |         86 |          9 |         21 |        116 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentFileEntity.java                                                                           | java     |        103 |          9 |         25 |        137 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TeacherEntity.java                                                                               | java     |         78 |          9 |         20 |        107 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/FileService.java                                                                                | java     |         38 |         21 |         12 |         71 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/StudentService.java                                                                             | java     |         55 |         33 |         11 |         99 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/TeacherService.java                                                                             | java     |         73 |         34 |         17 |        124 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/convert/Entity2DTO.java                                                                           | java     |         26 |         12 |          4 |         42 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/Controller/JwtAuthenticationController.java                                                | java     |         67 |         15 |         14 |         96 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/StudentDaoAutenticationProvider.java                       | java     |         24 |         26 |          8 |         58 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/TeacherDaoAutenticationProvider.java                       | java     |         24 |         26 |          8 |         58 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/JwtAuthenticationEntryPoint.java                                                    | java     |         17 |          9 |          8 |         34 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/JwtRequestFilter.java                                                               | java     |         84 |         18 |         23 |        125 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/MyAuthenticationSuccessHandler.java                                                 | java     |         24 |          9 |          7 |         40 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/StudentUsernamePasswordAuthenticationToken.java | java     |          7 |          9 |          5 |         21 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/TeacherUsernamePasswordAutenticationToken.java  | java     |          7 |          9 |          5 |         21 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/WebSecurityConfig.java                                                              | java     |         70 |         52 |         27 |        149 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/JwtRequest.java                                                                      | java     |         34 |         10 |         13 |         57 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/JwtResponse.java                                                                     | java     |         12 |          0 |          5 |         17 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/UserDTO.java                                                                         | java     |         24 |          9 |          8 |         41 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtStudentUserDetailsService.java                                                 | java     |         35 |         29 |         10 |         74 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtTeacherUserDetailsService.java                                                 | java     |         35 |         11 |          7 |         53 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/tools/JwtTokenUtil.java                                                                    | java     |         69 |         21 |         17 |        107 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/test/java/com/swithun/backend/BackendApplicationTests.java                                                                            | java     |          9 |          0 |          5 |         14 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/App.vue                                                                                                                         | Vue      |         26 |          0 |          4 |         30 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/FilePreview.vue                                                                                                      | Vue      |         37 |          0 |          3 |         40 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/HelloWorld.vue                                                                                                       | Vue      |         57 |          0 |          3 |         60 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/Login.vue                                                                                                            | Vue      |        121 |          2 |          6 |        129 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/StudentHome.vue                                                                                                      | Vue      |        129 |          2 |         12 |        143 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/StudentMyPapers.vue                                                                                                  | Vue      |        181 |          3 |          5 |        189 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/StudentUploadPaper.vue                                                                                               | Vue      |        111 |          1 |          4 |        116 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/comment.vue                                                                                                          | Vue      |         49 |          0 |          3 |         52 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/professorStudentsPaper.vue                                                                                           | Vue      |        208 |          5 |          5 |        218 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/views/About.vue                                                                                                                 | Vue      |          5 |          0 |          1 |          6 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/views/Home.vue                                                                                                                  | Vue      |         15 |          1 |          3 |         19 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/文档/spring_security_jwt_时序图.puml                                                                                                                   | PlantUML |         28 |          0 |          0 |         28 |
| Total                                                                                                                                                                                                          |          |      2,662 |        617 |        489 |      3,768 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
